#,Intent,cst_entity,Key-Problem Description Title
21,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Activation Issue
22,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Card Read Error
23,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Terminal Lock Issue
24,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Printer Issue
25,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Error Code on Screen
26,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Rental Info
27,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Commission Charges Related
28,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC International Card Related
29,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Amex Card Related
30,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Instrument Enable/Disable
31,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Upgrade
32,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Lost
33,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Deactivation Request
34,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Plan Upgrade
35,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Network Wifi Issue
36,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Refund Related
37,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC New Device Request
38,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Physical Training Request
39,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Order & Delivery Related
40,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Picked rental not stopped
41,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Multiple Rental/MDR deduction
1,Business Loan,p4bbusinessloan,Loan Application Status
2,Business Loan,p4bbusinessloan,Unable to complete the application
3,Business Loan,p4bbusinessloan,Loan amount Disbursal/Credit related
4,Business Loan,p4bbusinessloan,Loan Rejection Reason
5,Business Loan,p4bbusinessloan,Loan Offer Related
6,Business Loan,p4bbusinessloan,Loan Closure Related
7,Business Loan,p4bbusinessloan,EDI Related Information
8,Business Loan,p4bbusinessloan,Multiple EDI deduction Issue
9,Business Loan,p4bbusinessloan,EDI deduction issue
10,Business Loan,p4bbusinessloan,Loan Cancellation Related
11,Business Loan,p4bbusinessloan,Self Pay/Re-pay Related
12,Business Loan,p4bbusinessloan,Loan Statement Download
13,Business Loan,p4bbusinessloan,Insurance Related
14,Business Loan,p4bbusinessloan,Cibil Score Related
15,Business Loan,p4bbusinessloan,FSE Miselling
16,Business Loan,p4bbusinessloan,FSE Behaviour Issue
1,Profile,p4bprofile,Merchant Account Reactivation
2,Profile,p4bprofile,Bank Account Change
3,Profile,p4bprofile,Primary Number Change
4,Profile,p4bprofile,Pan Card Change
5,Profile,p4bprofile,Payment Limit Related
6,Profile,p4bprofile,Account Upgrade Request
7,Profile,p4bprofile,Display Name Change Request
8,Profile,p4bprofile,Business Name Change Request
9,Profile,p4bprofile,Re-KYC Request
10,Profile,p4bprofile,Business Category Change
11,Profile,p4bprofile,Notification Related
12,Profile,p4bprofile,Business Address Change
13,Profile,p4bprofile,GST Number Update
14,Profile,p4bprofile,Primary Email Id Update
15,Profile,p4bprofile,Billing Address Change
16,Profile,p4bprofile,Authorised Signatory Name Change
17,Profile,p4bprofile,Account Termination Request
18,Profile,p4bprofile,SMS Service Activation
1,Wealth,p4bwealth,Activation Request
2,Wealth,p4bwealth,Auto Debit Issue
3,Wealth,p4bwealth,Balance Enquiry
4,Wealth,p4bwealth,Balance Related Issue
5,Wealth,p4bwealth,Cancel Gold Plan Investment
6,Wealth,p4bwealth,Fund Not Credited to Bank Post Withdrawal
7,Wealth,p4bwealth,Gold Coin Delivery
8,Wealth,p4bwealth,Gold Saving FAQ
9,Wealth,p4bwealth,Sell Gold
